id,createdAt,path,name,dimension,parentId,isReflection,order,updatedAt,cLevel,dLevel,ancestorTags
,"{""_seconds"":1747960628,""_nanoseconds"":166000000}",,Cars,,wkb24WrIxoboiYCqpIqL,,4,"{""_seconds"":1747960628,""_nanoseconds"":166000000}",2,2,
3071695f-9492-4be1-b880-bf8164d48075,"{""_seconds"":1748207806,""_nanoseconds"":506000000}","[""WHO"",""WHO"",""Friends""]",Neighborhood,who,53dab50d-efec-4b80-b159-b63d1c7779a9,,2,"{""_seconds"":1748207806,""_nanoseconds"":506000000}",,,
3257ba65-05f7-4990-8231-a4e92a6214e6,"{""_seconds"":1748207809,""_nanoseconds"":442000000}","[""Favorite""]",Favorite,about,,1,20,"{""_seconds"":1748207809,""_nanoseconds"":442000000}",,,
32a21b6a-e562-48ec-807c-e29c114a5d98,"{""_seconds"":1748207807,""_nanoseconds"":982000000}","[""About"",""About"",""Experiential"",""Society & Culture""]",Miscellaneous,about,a947cc79-7211-47ea-b3b4-f3d28a8e1b24,,6,"{""_seconds"":1748207807,""_nanoseconds"":982000000}",,,
332b9bc7-e145-4895-b70f-24cfef6daf3f,"{""_seconds"":1748207807,""_nanoseconds"":944000000}","[""About"",""About"",""Experiential""]",Holidays,about,a9b86e37-91a5-4702-9fe4-ca20c1691c34,,7,"{""_seconds"":1748207807,""_nanoseconds"":944000000}",,,
355128a6-31ba-422c-9112-3a92b8df9614,"{""_seconds"":1748207807,""_nanoseconds"":965000000}","[""About"",""About"",""Experiential"",""Society & Culture""]",Styles,about,a947cc79-7211-47ea-b3b4-f3d28a8e1b24,,3,"{""_seconds"":1748207807,""_nanoseconds"":965000000}",,,
35f99666-ea07-4b15-ae63-4fd74be62bf1,"{""_seconds"":1748207806,""_nanoseconds"":447000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Education"",""High School""]",Spring Break,what,92e024b5-fa45-46af-bc8f-f3a7976c722f,,3,"{""_seconds"":1748207806,""_nanoseconds"":447000000}",,,
3902ef24-6170-405f-9e90-6c99bf890cb3,"{""_seconds"":1748207806,""_nanoseconds"":275000000}","[""WHO"",""WHO"",""Family""]",Parents,who,fb4c7a60-676e-4cf5-8460-2c13311119c6,,1,"{""_seconds"":1748207806,""_nanoseconds"":275000000}",,,
3b86930a-6870-43d0-a10e-ceb7f1dac2b6,"{""_seconds"":1748207809,""_nanoseconds"":365000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country"",""State"",""City"",""Place""]",McEwen Northside,where,3c988ba4-eda0-4b3a-ba66-2653243692b7,,15,"{""_seconds"":1748207809,""_nanoseconds"":365000000}",,,
3c988ba4-eda0-4b3a-ba66-2653243692b7,"{""_seconds"":1748207809,""_nanoseconds"":361000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country"",""State"",""City""]",Place,where,9181c4c9-8c97-4d1d-a1a4-f5b63206528d,,1,"{""_seconds"":1748207809,""_nanoseconds"":361000000}",,,
3d966105-b6c3-4a9f-a96c-ba0a53461ef5,"{""_seconds"":1748207806,""_nanoseconds"":442000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Education""]",Middle School,what,c3896ed1-bb2e-4cc1-8be0-2bb219a991c2,,4,"{""_seconds"":1748207806,""_nanoseconds"":442000000}",,,
,"{""_seconds"":1747960653,""_nanoseconds"":107000000}",,1981,,nYLMuRcZEdyw5qM5zXBW,,1,"{""_seconds"":1748665598,""_nanoseconds"":816000000}",4,4,
,"{""_seconds"":1747960636,""_nanoseconds"":426000000}",,Best days,,PaPgvkeesEiO7ZFslx5P,,20,"{""_seconds"":1747960636,""_nanoseconds"":426000000}",3,3,
42efed2a-5e71-4610-8e24-abc3254237a3,"{""_seconds"":1748207806,""_nanoseconds"":317000000}","[""WHO"",""WHO"",""Family""]",Grandchildren,who,fb4c7a60-676e-4cf5-8460-2c13311119c6,,7,"{""_seconds"":1748207806,""_nanoseconds"":317000000}",,,
450589a4-9dca-43a0-ac48-1509c6a7e297,"{""_seconds"":1748207806,""_nanoseconds"":414000000}","[""WHO"",""WHO"",""Family""]",In-Laws,who,fb4c7a60-676e-4cf5-8460-2c13311119c6,,8,"{""_seconds"":1748207806,""_nanoseconds"":414000000}",,,
46d0b98d-e84b-46b0-8fcf-6e7d3f78252c,"{""_seconds"":1748207809,""_nanoseconds"":378000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country"",""State"",""City"",""Place""]",Linbrook Dr.,where,3c988ba4-eda0-4b3a-ba66-2653243692b7,,9,"{""_seconds"":1748207809,""_nanoseconds"":378000000}",,,
48c138f8-9b75-4be1-9677-a275f48adaa2,"{""_seconds"":1748207806,""_nanoseconds"":242000000}","[""WHO"",""WHO""]",Self,who,ccdf9113-d107-4a79-a7b3-19c2c9d66472,,1,"{""_seconds"":1748207806,""_nanoseconds"":242000000}",,,
,"{""_seconds"":1747960653,""_nanoseconds"":917000000}",,1990,,rPZ1AFp1DU0dyuQA3Occ,,0,"{""_seconds"":1747960653,""_nanoseconds"":917000000}",4,4,
,"{""_seconds"":1747960652,""_nanoseconds"":201000000}",,"1971,",,GTWPUbW6oZjCD0wH2twI,,1,"{""_seconds"":1747960652,""_nanoseconds"":201000000}",4,4,
4ced862b-c863-4afe-8650-5b6a845952b0,"{""_seconds"":1748207807,""_nanoseconds"":917000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Financial"",""Income & Career""]",Given,what,094759fd-f454-4ac9-b11d-a2d05635203c,,7,"{""_seconds"":1748207807,""_nanoseconds"":917000000}",,,
4e15e7d5-db07-43ef-8492-470d753c6652,"{""_seconds"":1748207809,""_nanoseconds"":393000000}","[""Advice""]",Advice,about,,1,5,"{""_seconds"":1748207809,""_nanoseconds"":393000000}",,,
4e1cdb0f-756a-41c2-97f4-46db65edf99d,"{""_seconds"":1748207807,""_nanoseconds"":946000000}","[""About"",""About"",""Experiential""]",World & Politics,about,a9b86e37-91a5-4702-9fe4-ca20c1691c34,,8,"{""_seconds"":1748207807,""_nanoseconds"":946000000}",,,
50108fb7-7f97-4b48-8849-ab28d12cf009,"{""_seconds"":1748207807,""_nanoseconds"":958000000}","[""About"",""About"",""Experiential"",""Holidays""]",Easter,about,332b9bc7-e145-4895-b70f-24cfef6daf3f,,2,"{""_seconds"":1748207807,""_nanoseconds"":958000000}",,,
525e3630-fcca-4802-84c2-189d9d9f4948,"{""_seconds"":1748207809,""_nanoseconds"":368000000}","[""WHERE"",""WHERE""]",World,where,5681e870-dac9-46fa-946d-9e82105ba5f4,,1,"{""_seconds"":1748207809,""_nanoseconds"":368000000}",,,
53418df3-42bd-443f-8458-3272306c30ea,"{""_seconds"":1748207806,""_nanoseconds"":364000000}","[""WHO"",""WHO"",""Family"",""GrandParents""]",Maternal Grand Mother,who,9e806e92-1d03-4bb5-ab56-55fabd0590d9,,4,"{""_seconds"":1748207806,""_nanoseconds"":364000000}",,,
53dab50d-efec-4b80-b159-b63d1c7779a9,"{""_seconds"":1748207806,""_nanoseconds"":435000000}","[""WHO"",""WHO""]",Friends,who,ccdf9113-d107-4a79-a7b3-19c2c9d66472,,3,"{""_seconds"":1748207806,""_nanoseconds"":435000000}",,,
55297de9-1365-42a5-98c9-ec35376c4195,"{""_seconds"":1748207809,""_nanoseconds"":413000000}","[""Regrets""]",Regrets,about,,1,8,"{""_seconds"":1748207809,""_nanoseconds"":413000000}",,,
5681e870-dac9-46fa-946d-9e82105ba5f4,"{""_seconds"":1748207808,""_nanoseconds"":13000000}","[""WHERE""]",WHERE,where,,,4,"{""_seconds"":1748207808,""_nanoseconds"":13000000}",,,
580d0e66-ae32-4116-9d41-32765f1c612d,"{""_seconds"":1748207809,""_nanoseconds"":418000000}","[""Right-Call""]",Right-Call,about,,1,3,"{""_seconds"":1748207809,""_nanoseconds"":418000000}",,,
5854eae0-3934-4374-a5cd-8513d5619912,"{""_seconds"":1748207807,""_nanoseconds"":998000000}","[""WHEN"",""WHEN"",""Past"",""Decade"",""Year""]",Month,when,84104d4d-1ed9-4137-8ab1-a9d0e9408f2a,,3,"{""_seconds"":1748207807,""_nanoseconds"":998000000}",,,
5b052b69-7842-4b92-9fa5-dbea6074ae1e,"{""_seconds"":1748207808,""_nanoseconds"":17000000}","[""WHEN"",""WHEN""]",Future,when,f4207335-cb40-48ed-a6b4-56d7334b9145,,2,"{""_seconds"":1748207808,""_nanoseconds"":17000000}",,,
5ea1e905-20c7-484b-9138-34a3eea93051,"{""_seconds"":1748207806,""_nanoseconds"":368000000}","[""WHO"",""WHO"",""Family""]",Cousins,who,fb4c7a60-676e-4cf5-8460-2c13311119c6,,4,"{""_seconds"":1748207806,""_nanoseconds"":368000000}",,,
5f39bc1f-eeff-4f14-84ac-cb14103be7f6,"{""_seconds"":1748207806,""_nanoseconds"":284000000}","[""WHO"",""WHO"",""Family""]",Siblings,who,fb4c7a60-676e-4cf5-8460-2c13311119c6,,3,"{""_seconds"":1748207806,""_nanoseconds"":284000000}",,,
,"{""_seconds"":1747960654,""_nanoseconds"":516000000}",,1997,,rPZ1AFp1DU0dyuQA3Occ,,7,"{""_seconds"":1747960654,""_nanoseconds"":516000000}",4,4,
63d23ae6-c120-4fd5-9925-8db7e5a642f0,"{""_seconds"":1748207807,""_nanoseconds"":914000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Marriage""]",Honeymoon,what,735239ca-567e-4b1c-8565-5f911e5d5bbd,,3,"{""_seconds"":1748207807,""_nanoseconds"":914000000}",,,
686f4758-a033-4822-8163-e340162b1dec,"{""_seconds"":1748207807,""_nanoseconds"":898000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Financial"",""Income & Career""]",Caribiner,what,094759fd-f454-4ac9-b11d-a2d05635203c,,5,"{""_seconds"":1748207807,""_nanoseconds"":898000000}",,,
,"{""_seconds"":1747960619,""_nanoseconds"":188000000}",,Current Focus,,CY7cyvyDQYId1iukgCjO,,0,"{""_seconds"":1747960619,""_nanoseconds"":188000000}",3,3,
6ace0e36-7172-42d0-a32d-7ccfa963a523,"{""_seconds"":1748207807,""_nanoseconds"":942000000}","[""About"",""About"",""Experiential""]",Sports,about,a9b86e37-91a5-4702-9fe4-ca20c1691c34,,2,"{""_seconds"":1748207807,""_nanoseconds"":942000000}",,,
6ca478b6-7a94-4679-8bf7-25a587a90a20,"{""_seconds"":1748207807,""_nanoseconds"":931000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Financial"",""Income & Career""]",USC,what,094759fd-f454-4ac9-b11d-a2d05635203c,,1,"{""_seconds"":1748207807,""_nanoseconds"":931000000}",,,
6da233a3-d6d8-4cbb-a783-35ecd0cc5658,"{""_seconds"":1748207806,""_nanoseconds"":417000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Ancestry"",""Family Names""]",Bond,what,1bdf9132-fa0a-4e67-b4f4-b1a749ebbe2e,,1,"{""_seconds"":1748207806,""_nanoseconds"":417000000}",,,
,"{""_seconds"":1747960633,""_nanoseconds"":717000000}",,Television,,wkb24WrIxoboiYCqpIqL,,10,"{""_seconds"":1747960633,""_nanoseconds"":717000000}",2,2,
7295024b-a7b3-4193-9f6f-d1cf9e6e1225,"{""_seconds"":1748207809,""_nanoseconds"":347000000}","[""WHERE"",""WHERE"",""World"",""International""]",Country,where,0da3e521-1b25-4dbb-8e15-001432a7c0c0,,1,"{""_seconds"":1748207809,""_nanoseconds"":347000000}",,,
735239ca-567e-4b1c-8565-5f911e5d5bbd,"{""_seconds"":1748207807,""_nanoseconds"":895000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains""]",Marriage,what,e14d08ba-222d-4c0c-b880-ee392bbf8f69,,4,"{""_seconds"":1748207807,""_nanoseconds"":895000000}",,,
75eb066a-2162-4508-a2df-debb8912cab5,"{""_seconds"":1748207809,""_nanoseconds"":380000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country"",""State"",""City"",""Place""]",Springbrook,where,3c988ba4-eda0-4b3a-ba66-2653243692b7,,8,"{""_seconds"":1748207809,""_nanoseconds"":380000000}",,,
7861f0f0-fd9b-4c8f-8b94-3ec20b25cb70,"{""_seconds"":1748207807,""_nanoseconds"":947000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Financial""]",Worth &Investing,what,16700a4a-fe15-4738-a701-b0265f7939cb,,2,"{""_seconds"":1748207807,""_nanoseconds"":947000000}",,,
,"{""_seconds"":1747960626,""_nanoseconds"":91000000}",,Politics,,wkb24WrIxoboiYCqpIqL,,2,"{""_seconds"":1747960626,""_nanoseconds"":91000000}",2,2,
,"{""_seconds"":1747960609,""_nanoseconds"":311000000}",,Family,,qmYO3767JUq1jRbdpWvM,,4,"{""_seconds"":1747960609,""_nanoseconds"":311000000}",2,2,
7b5f6d08-0975-4e27-8f70-3c88b0b04470,"{""_seconds"":1748207809,""_nanoseconds"":384000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country"",""State"",""City"",""Place""]",Capitol View,where,3c988ba4-eda0-4b3a-ba66-2653243692b7,,14,"{""_seconds"":1748207809,""_nanoseconds"":384000000}",,,
7bb9698b-78a8-4f67-b5b2-227026ec95cb,"{""_seconds"":1748207809,""_nanoseconds"":350000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country""]",State,where,056a7004-8885-4347-92b6-9566fb5f01a7,,1,"{""_seconds"":1748207809,""_nanoseconds"":350000000}",,,
7f741f76-9b0d-4239-9366-68adee9261eb,"{""_seconds"":1748207807,""_nanoseconds"":977000000}","[""About"",""About"",""Experiential"",""Society & Culture""]",Movies,about,a947cc79-7211-47ea-b3b4-f3d28a8e1b24,,4,"{""_seconds"":1748207807,""_nanoseconds"":977000000}",,,
7f8054ba-aea7-40ea-97d9-e27dd8facd31,"{""_seconds"":1748207809,""_nanoseconds"":401000000}","[""Disappointment""]",Disappointment,about,,1,7,"{""_seconds"":1748207809,""_nanoseconds"":401000000}",,,
,"{""_seconds"":1747960592,""_nanoseconds"":416000000}",,Friendship,,UvsVcAoZ1Wy53cDYTXnv,,41,"{""_seconds"":1747960592,""_nanoseconds"":416000000}",3,3,
814c6e78-82f6-4352-a036-8a4e2836413c,"{""_seconds"":1748207807,""_nanoseconds"":926000000}","[""About"",""About"",""Experiential""]",Vacations,about,a9b86e37-91a5-4702-9fe4-ca20c1691c34,,4,"{""_seconds"":1748207807,""_nanoseconds"":926000000}",,,
8190576f-f807-4540-a0f9-920f5cb3d8e4,"{""_seconds"":1748207809,""_nanoseconds"":399000000}","[""Success""]",Success,about,,1,1,"{""_seconds"":1748207809,""_nanoseconds"":399000000}",,,
8335e82b-bcce-426b-a024-7cecf3d5b193,"{""_seconds"":1748207806,""_nanoseconds"":533000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Education""]",College,what,c3896ed1-bb2e-4cc1-8be0-2bb219a991c2,,6,"{""_seconds"":1748207806,""_nanoseconds"":533000000}",,,
83ab8ad9-8140-4654-bb4a-91a55de8d74a,"{""_seconds"":1748207807,""_nanoseconds"":928000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Financial"",""Income & Career""]",SQL,what,094759fd-f454-4ac9-b11d-a2d05635203c,,4,"{""_seconds"":1748207807,""_nanoseconds"":928000000}",,,
84104d4d-1ed9-4137-8ab1-a9d0e9408f2a,"{""_seconds"":1748207808,""_nanoseconds"":12000000}","[""WHEN"",""WHEN"",""Past"",""Decade""]",Year,when,1583b0e8-0f3e-473f-8be8-ad0bad78826a,,2,"{""_seconds"":1748666154,""_nanoseconds"":912000000}",,,
871fa2df-54e2-4b48-b75b-d42f76c9b23c,"{""_seconds"":1748207809,""_nanoseconds"":437000000}","[""Wisdom""]",Wisdom,about,,1,12,"{""_seconds"":1748207809,""_nanoseconds"":437000000}",,,
,"{""_seconds"":1747960637,""_nanoseconds"":966000000}",,Adventures,,wkb24WrIxoboiYCqpIqL,,12,"{""_seconds"":1747960637,""_nanoseconds"":966000000}",2,2,
8bdc237f-c2ef-4c71-838e-81a46e0b38ac,"{""_seconds"":1748207806,""_nanoseconds"":209000000}","[""About""]",About,about,,,0,"{""_seconds"":1748207806,""_nanoseconds"":209000000}",,,
8d002097-9c2c-4054-8d4d-6c913dafe5da,"{""_seconds"":1748207806,""_nanoseconds"":309000000}","[""WHO"",""WHO"",""Family""]",Spouse,who,fb4c7a60-676e-4cf5-8460-2c13311119c6,,5,"{""_seconds"":1748207806,""_nanoseconds"":309000000}",,,
8d5c1785-b7f9-427d-803d-5da483df0e77,"{""_seconds"":1748207809,""_nanoseconds"":424000000}","[""Motivation""]",Motivation,about,,1,14,"{""_seconds"":1748207809,""_nanoseconds"":424000000}",,,
,"{""_seconds"":1747960637,""_nanoseconds"":433000000}",,What are your Strengths,,PaPgvkeesEiO7ZFslx5P,,33,"{""_seconds"":1747960637,""_nanoseconds"":433000000}",3,3,
8e28b7af-3b97-4dcd-8ff9-bae905922eb9,"{""_seconds"":1748207806,""_nanoseconds"":297000000}","[""WHO"",""WHO"",""Family"",""Parents""]",Mother,who,3902ef24-6170-405f-9e90-6c99bf890cb3,,2,"{""_seconds"":1748207806,""_nanoseconds"":297000000}",,,
9181c4c9-8c97-4d1d-a1a4-f5b63206528d,"{""_seconds"":1748207809,""_nanoseconds"":376000000}","[""WHERE"",""WHERE"",""World"",""Domestic"",""Country"",""State""]",City,where,7bb9698b-78a8-4f67-b5b2-227026ec95cb,,1,"{""_seconds"":1748207809,""_nanoseconds"":376000000}",,,
9282660b-e9ae-49f7-8ed1-a82ace0ab1d7,"{""_seconds"":1748207806,""_nanoseconds"":323000000}","[""WHO"",""WHO""]",Personal,who,ccdf9113-d107-4a79-a7b3-19c2c9d66472,,1,"{""_seconds"":1748207806,""_nanoseconds"":323000000}",,,
92e024b5-fa45-46af-bc8f-f3a7976c722f,"{""_seconds"":1748207806,""_nanoseconds"":520000000}","[""WHAT - Themes/Domains"",""WHAT - Themes/Domains"",""Education""]",High School,what,c3896ed1-bb2e-4cc1-8be0-2bb219a991c2,,5,"{""_seconds"":1748207806,""_nanoseconds"":520000000}",,,
931c86d9-dd63-40f1-a167-954b0ffd287d,"{""_seconds"":1748207806,""_nanoseconds"":329000000}","[""WHO"",""WHO"",""Personal""]",Health,who,9282660b-e9ae-49f7-8ed1-a82ace0ab1d7,,1,"{""_seconds"":1748207806,""_nanoseconds"":329000000}",,,"[""9282660b-e9ae-49f7-8ed1-a82ace0ab1d7""]"
